promedio_asistencia,promedio_seguimiento,nota_parcial_1,inicios_sesion_plataforma,uso_tutorias,riesgo_reprobacion
71.5,2.3,3.5,39,0,1
67.8,3.1,2.5,49,0,0
90.0,2.8,2.1,27,6,1
89.1,3.7,3.2,36,1,0
73.4,4.0,4.3,41,1,0
74.3,4.4,3.6,33,2,0
95.5,3.8,2.5,46,2,0
86.3,3.3,3.2,56,0,0
91.0,3.2,4.1,29,1,0
82.8,4.0,3.6,34,0,0
71.7,2.7,3.4,41,0,0
64.4,2.4,2.6,30,4,1
93.1,2.9,3.8,52,0,0
90.4,2.2,3.4,36,2,0
79.8,3.0,2.5,32,0,1
100.0,2.6,5.0,47,1,0
75.8,2.8,3.2,48,0,0
83.3,2.6,3.6,48,0,0
79.9,3.8,3.7,45,2,0
95.7,3.9,2.5,36,0,0
82.5,3.2,3.5,26,3,0
62.4,2.6,3.0,46,1,0
76.8,3.1,2.9,45,0,0
78.3,2.5,3.4,30,1,0
68.5,3.8,3.3,50,0,1
99.7,4.5,3.2,50,1,0
100.0,3.4,3.8,37,1,0
86.2,2.7,3.2,50,5,0
74.1,3.0,2.9,37,1,0
62.6,3.4,3.1,35,1,0
78.4,3.9,4.3,32,0,0
90.6,3.6,3.6,45,0,0
90.0,3.0,2.5,50,4,1
88.2,2.1,3.1,50,2,0
82.7,3.1,2.5,33,2,0
77.4,2.9,4.2,43,0,0
93.6,3.2,2.8,35,0,0
71.1,3.4,3.6,40,1,0
92.3,3.6,2.7,25,2,0
60.8,3.6,2.4,39,1,1
63.6,2.7,3.0,43,4,0
83.9,3.6,3.9,37,1,0
70.6,4.0,3.9,36,1,0
92.7,4.1,5.0,35,1,0
83.6,4.9,3.6,36,3,0
73.3,4.5,2.7,35,0,0
80.6,2.7,2.5,47,2,1
84.4,2.9,2.0,20,0,0
77.7,4.9,5.0,25,0,0
88.9,2.7,2.6,39,0,0
60.0,4.0,4.4,53,3,0
94.3,2.7,4.4,37,1,0
72.9,2.7,3.7,50,1,1
82.1,3.3,4.6,31,2,0
79.4,2.2,2.6,47,1,1
75.9,3.6,3.2,30,1,0
86.3,3.5,3.7,33,1,0
84.5,3.2,2.8,44,1,0
66.7,3.0,2.6,23,1,0
71.9,2.9,3.5,25,2,0
68.5,3.5,3.2,35,2,1
87.5,2.9,2.5,26,0,0
77.4,2.3,3.8,34,1,0
63.6,4.3,5.0,30,2,0
88.4,3.9,2.9,34,0,0
85.8,3.4,4.2,37,4,0
100.0,2.5,3.3,33,4,0
73.4,3.5,4.3,49,1,0
100.0,2.9,3.0,40,0,0
86.0,3.0,4.6,55,0,0
100.0,3.8,3.7,31,1,0
77.0,3.2,3.0,44,2,0
70.6,3.5,2.5,30,0,0
76.4,3.7,2.0,46,4,0
100.0,4.6,5.0,40,0,0
92.3,4.1,2.5,53,0,0
88.0,2.6,4.3,48,0,0
93.7,5.0,3.2,42,1,0
91.4,3.7,3.6,47,0,0
79.5,2.5,3.8,48,0,0
77.2,4.0,2.0,49,1,1
83.4,3.1,2.7,45,4,0
92.5,3.9,3.4,53,0,0
86.0,2.7,4.0,25,10,0
79.3,4.8,3.3,49,2,0
87.0,2.9,2.5,42,2,0
84.4,3.1,2.5,60,1,0
73.6,3.6,2.9,23,0,1
100.0,3.8,3.2,27,1,0
67.6,4.0,2.1,49,1,0
80.6,3.2,4.0,32,5,0
98.1,4.1,4.9,40,1,0
72.4,4.0,2.5,27,1,0
80.6,4.0,2.8,45,6,0
96.7,3.3,3.9,39,0,0
83.8,3.0,3.3,52,2,0
82.2,3.2,4.3,55,0,0
72.8,2.6,3.7,44,4,0
78.0,2.4,3.0,60,5,0
82.9,4.0,2.6,49,0,1
85.5,3.6,3.5,25,0,0
89.4,3.3,3.7,42,1,0
70.1,2.5,2.5,28,6,0
70.6,3.8,4.0,60,1,0
69.5,4.1,3.6,47,3,0
74.7,3.8,2.9,37,0,0
90.5,3.1,3.7,50,2,0
95.0,3.7,4.5,40,6,0
74.3,2.7,2.6,33,1,0
97.2,3.5,3.5,48,0,0
86.2,3.5,4.9,25,0,0
96.6,4.3,2.7,30,4,0
82.0,3.7,4.5,37,0,0
74.0,2.9,3.0,33,3,0
60.0,2.7,2.1,38,5,0
70.2,3.0,4.0,37,1,0
86.7,4.3,4.2,40,2,0
85.9,3.3,4.4,28,3,0
76.4,3.2,2.2,47,1,1
81.1,3.6,2.8,42,0,0
74.2,3.8,2.1,33,0,1
78.4,3.0,2.5,37,0,0
66.7,2.2,3.1,23,0,0
60.4,3.7,4.6,34,3,0
70.0,2.0,3.8,36,0,0
74.9,3.3,2.9,39,1,0
95.7,3.7,2.5,25,1,0
67.9,3.7,2.9,42,0,1
81.0,2.6,5.0,36,2,0
79.1,3.6,2.0,34,0,1
72.9,3.0,3.1,44,2,1
71.5,3.6,4.2,46,0,0
72.8,2.4,4.7,56,0,0
79.4,3.6,3.4,43,0,1
78.5,3.5,2.5,50,1,0
100.0,3.2,4.0,28,1,0
69.3,3.2,2.9,45,0,0
90.4,4.4,3.9,32,2,0
100.0,4.4,3.4,31,0,0
81.2,3.6,3.1,25,1,0
65.7,4.6,3.5,39,3,0
96.6,3.2,5.0,42,1,0
84.6,3.3,2.2,28,1,1
90.9,2.3,3.9,43,3,0
67.3,4.7,3.4,40,4,0
88.4,3.8,2.5,52,0,0
77.7,2.4,2.9,35,1,0
88.7,4.0,5.0,38,4,0
85.2,3.5,4.0,32,4,0
64.9,3.2,3.0,36,0,1
68.1,3.0,2.6,47,0,0
81.5,2.5,3.5,33,0,1
74.7,3.4,2.5,29,2,0
75.9,2.5,2.0,26,2,1
90.5,3.5,2.9,50,3,0
100.0,4.0,3.2,29,1,0
96.5,3.3,3.6,32,1,0
96.4,3.4,3.8,25,2,0
76.6,3.7,2.5,29,2,0
70.9,3.2,3.2,31,2,0
68.4,2.4,3.2,36,0,0
84.3,3.0,3.7,23,0,0
92.0,3.3,2.7,25,8,0
83.5,2.8,2.5,37,2,0
100.0,3.5,4.3,42,1,0
82.0,3.8,3.0,47,1,1
91.3,3.9,4.5,46,1,0
72.9,2.8,3.7,32,9,0
66.6,2.9,2.5,48,3,0
76.0,2.2,2.8,50,0,0
76.3,4.3,3.8,27,0,0
85.3,2.7,2.7,37,0,0
73.1,3.1,3.2,42,0,0
85.4,3.7,2.5,46,0,0
60.0,4.0,3.4,22,0,0
67.2,2.7,3.0,43,3,0
100.0,3.1,3.2,25,1,0
68.2,2.0,3.2,24,0,0
73.7,3.4,3.3,39,1,1
74.1,3.4,2.0,50,1,0
68.8,2.2,2.1,29,0,0
78.1,3.3,3.1,37,3,0
100.0,5.0,2.5,25,0,0
68.6,3.2,4.6,48,1,0
86.5,4.2,4.1,57,0,0
87.6,4.9,2.5,40,1,0
70.5,2.8,2.0,42,8,0
80.6,3.8,3.9,39,1,0
75.5,2.2,2.9,31,4,0
69.8,3.8,2.5,48,3,0
74.2,4.1,2.5,28,1,0
69.9,3.9,3.5,41,0,0
76.9,3.2,2.7,38,2,1
60.0,3.8,2.4,40,0,1
87.2,3.6,3.6,35,2,0
71.2,3.5,4.3,40,2,0
88.7,2.7,3.6,46,1,0
66.8,4.0,3.8,37,1,0
65.6,2.6,2.1,26,0,0
83.0,4.6,4.1,34,0,0
85.5,4.3,2.7,51,3,0
80.1,3.6,2.5,40,0,0
83.5,4.7,3.2,49,2,0
100.0,3.6,4.1,25,0,0
89.6,3.9,2.5,35,3,0
81.9,3.7,2.5,37,0,0
69.3,3.8,2.3,47,1,1
79.2,4.1,3.5,43,0,0
87.8,3.1,4.7,43,6,0
78.8,3.2,4.0,41,2,0
75.9,4.3,4.4,39,1,0
79.6,2.8,2.1,29,3,0
83.9,2.9,2.8,32,0,0
76.4,2.9,3.6,58,2,0
86.9,2.0,3.1,36,2,1
73.3,3.4,2.5,26,7,0
87.6,3.7,4.3,36,1,0
76.3,4.1,2.5,29,3,0
65.5,2.8,3.5,47,1,0
81.5,3.3,4.0,41,0,0
100.0,3.1,3.5,35,4,0
85.8,3.5,3.9,40,0,0
83.5,5.0,3.7,42,0,0
82.2,3.7,3.7,49,2,0
86.5,3.6,4.2,27,0,0
70.5,3.1,3.6,37,0,1
88.4,3.2,2.5,34,3,0
75.3,4.3,2.8,42,0,0
93.5,4.0,2.7,40,5,0
66.2,3.0,3.0,25,1,0
76.9,3.1,3.1,38,1,0
88.8,2.9,2.6,45,1,0
79.1,3.1,2.7,36,1,1
97.0,4.0,4.6,59,2,0
75.3,2.0,4.7,40,0,0
99.1,3.3,4.4,38,0,0
66.3,2.2,3.1,20,1,0
86.1,3.9,2.9,48,1,0
78.4,3.9,3.9,47,0,0
82.4,4.3,5.0,43,1,0
98.1,2.6,3.7,52,0,0
74.7,3.4,3.5,37,1,1
84.9,4.6,2.9,49,0,0
75.6,2.7,3.3,50,2,0
73.1,3.8,4.4,32,4,0
83.0,3.4,4.5,52,0,0
77.3,2.6,3.1,41,0,0
72.1,3.0,4.9,44,1,0
82.5,3.3,2.4,43,2,0
81.6,3.4,2.5,41,0,0
83.1,3.7,4.1,59,1,0
100.0,3.2,3.4,42,0,0
68.7,3.6,3.3,38,0,0
73.5,3.4,3.0,35,1,0
85.9,2.8,2.3,41,2,1
75.8,3.3,3.4,30,0,0
86.8,3.8,3.7,60,4,0
99.8,4.4,2.9,40,0,0
94.3,3.0,4.3,56,0,0
99.3,2.9,4.3,44,2,0
84.2,3.5,4.3,39,0,0
71.0,4.0,2.0,33,5,0
76.0,3.1,2.7,48,3,0
90.0,3.3,2.8,29,0,0
98.9,3.1,2.6,38,0,0
80.7,3.1,2.9,40,1,0
80.0,4.4,3.0,46,0,0
84.7,3.1,4.0,37,0,0
84.5,2.7,3.0,42,7,0
74.6,4.9,2.5,46,3,0
85.2,3.7,3.4,49,5,0
60.0,2.7,3.2,25,3,0
100.0,3.0,2.9,34,2,0
75.1,3.9,2.9,34,2,0
80.9,3.5,3.0,50,3,0
70.2,3.6,3.3,31,4,0
77.5,3.1,2.5,49,1,0
80.0,3.5,4.3,49,1,0
80.8,4.1,2.7,46,5,0
97.6,3.8,3.4,31,1,0
96.2,3.4,2.7,49,0,0
80.4,2.8,3.5,32,3,0
99.7,3.8,2.8,51,0,0
70.2,2.8,2.7,39,0,1
81.1,4.1,2.8,48,0,0
73.8,3.4,2.4,34,3,0
83.4,5.0,3.4,46,7,0
84.1,4.1,3.5,50,3,0
92.8,4.1,2.6,30,0,0
81.1,4.5,4.1,36,3,0
77.1,3.7,5.0,43,0,0
85.8,4.1,4.0,29,3,0
81.8,4.0,3.6,40,0,0
69.4,3.9,3.0,36,2,0
77.9,2.6,4.2,38,8,0
93.2,3.7,3.3,35,0,0
97.1,3.9,5.0,43,3,0
85.1,3.5,3.1,31,3,0
84.5,3.8,4.0,47,4,0
94.5,4.0,3.9,43,0,0
95.2,4.1,3.4,31,0,0
85.4,2.8,4.7,44,0,0
80.8,4.2,3.8,39,3,0
71.7,3.4,2.9,33,3,0
85.3,4.6,2.5,36,3,0
92.0,3.2,4.2,60,1,0
83.0,3.2,4.6,40,0,0
100.0,4.6,4.6,35,0,0
75.0,2.7,2.5,35,1,1
60.4,2.2,3.2,60,0,0
81.5,3.8,3.7,32,0,0
86.1,4.4,5.0,38,0,0
74.6,2.5,3.4,52,1,0
82.1,4.1,2.8,53,4,0
78.1,2.7,2.3,26,0,0
84.4,2.5,4.0,32,0,0
92.3,2.7,3.8,34,2,0
65.1,2.5,2.0,27,2,0
69.5,3.6,3.8,32,2,0
82.0,3.7,3.8,53,1,0
93.6,3.7,4.6,39,1,0
90.7,4.0,2.6,45,4,0
86.4,4.0,2.6,35,2,0
74.7,2.7,3.4,42,0,0
74.3,3.2,2.3,35,0,0
80.6,3.7,3.5,40,10,0
90.0,3.0,3.0,46,1,0
63.0,3.4,3.2,46,1,0
77.6,2.2,3.6,35,2,0
65.7,3.9,3.7,48,2,0
78.3,2.7,2.8,24,1,1
88.5,4.1,2.5,31,0,0
79.8,4.0,2.7,30,2,0
94.0,2.9,3.7,40,2,0
77.7,3.2,2.6,24,0,0
90.4,3.2,3.8,25,0,0
74.1,3.3,3.5,33,2,0
88.4,3.3,3.9,51,0,0
89.3,3.5,5.0,39,0,0
76.1,3.9,3.6,41,1,0
91.7,3.0,2.5,50,1,0
75.3,4.0,4.1,58,0,0
82.5,3.1,2.6,33,1,0
81.0,2.6,2.5,31,3,0
81.3,3.3,3.1,38,0,0
90.4,4.2,3.9,29,0,0
70.3,4.1,2.7,47,2,0
69.7,4.8,4.7,44,4,0
71.7,3.4,2.8,40,1,0
89.5,2.7,3.3,50,1,0
88.6,5.0,4.8,28,0,0
72.4,2.8,4.8,58,0,0
68.7,3.0,3.5,27,0,0
85.1,3.6,3.5,58,0,0
98.5,2.8,2.6,60,3,0
92.6,2.9,2.5,47,0,0
96.8,4.1,3.4,41,0,0
78.9,2.0,3.3,40,0,0
74.4,2.9,3.6,34,0,0
80.9,3.8,2.9,33,4,0
82.6,4.1,2.6,33,7,0
84.1,2.9,2.6,36,0,1
76.3,3.6,3.9,45,3,0
71.3,2.8,3.8,33,0,1
73.5,3.4,3.8,41,0,1
75.8,3.5,2.9,60,0,0
86.7,2.7,2.8,47,1,0
65.7,2.3,2.0,32,1,1
79.7,2.9,3.7,37,0,0
99.3,3.8,3.2,25,0,0
82.7,3.9,3.1,41,1,0
76.5,3.4,2.3,38,0,1
85.8,3.8,2.8,42,1,0
76.8,3.0,2.6,39,2,0
73.0,2.0,3.6,44,3,1
97.4,2.1,3.6,38,0,0
83.1,3.0,4.4,30,6,0
90.8,4.2,3.3,34,3,0
74.6,3.7,4.5,32,2,0
84.3,2.1,3.3,39,1,0
86.3,3.7,3.6,39,0,0
80.1,4.8,2.5,41,3,0
87.9,3.5,3.8,44,8,0
94.9,4.4,4.6,39,1,0
72.1,4.6,2.9,49,3,0
81.4,4.7,2.5,32,0,0
94.4,3.5,3.3,38,3,0
77.7,2.4,3.6,25,1,0
61.2,3.1,3.7,20,4,1
80.7,4.1,2.5,35,4,0
71.8,3.7,3.0,44,3,1
78.1,2.9,3.5,43,0,1
89.4,2.8,3.2,38,0,0
97.6,4.0,3.0,37,3,0
98.0,2.8,3.7,51,0,0
69.5,2.5,4.9,25,0,0
81.0,4.3,3.8,26,3,0
98.6,3.7,4.6,50,2,0
100.0,5.0,3.0,38,0,0
60.3,2.7,3.6,50,0,0
70.6,3.8,4.3,33,2,0
89.4,3.6,2.1,39,1,1
83.3,4.5,4.2,31,3,0
70.1,3.4,3.9,38,1,0
77.3,3.5,2.6,29,1,0
99.2,3.6,3.7,45,1,0
88.0,3.8,2.5,27,2,0
72.1,4.2,2.5,52,0,0
74.2,3.0,3.3,50,0,0
78.6,2.7,2.0,41,0,0
87.6,2.5,4.3,35,2,0
85.4,2.8,2.5,30,0,0
64.7,2.0,3.2,57,0,0
85.4,2.8,3.1,56,2,0
74.2,4.6,4.9,33,3,0
85.5,4.1,3.8,30,0,0
62.4,2.5,3.0,28,1,0
90.8,3.7,3.1,55,2,0
64.7,3.2,2.8,23,5,0
89.0,4.0,2.3,33,0,0
73.7,3.3,2.2,34,0,1
78.1,3.4,3.6,54,0,0
79.8,3.6,2.5,43,0,0
95.9,3.2,3.7,48,0,0
77.8,4.1,4.5,56,1,0
76.4,3.5,3.0,37,3,0
87.2,3.6,3.8,40,4,0
84.0,3.0,3.7,51,0,0
76.1,4.0,3.3,43,1,0
93.8,2.9,4.5,49,2,0
81.2,3.6,3.8,35,4,1
76.5,3.0,3.6,46,1,0
100.0,3.3,4.1,48,0,0
81.2,3.8,3.9,40,9,0
73.9,2.8,2.8,28,0,1
77.8,3.7,3.7,29,0,0
86.7,2.1,2.7,41,1,0
92.0,4.1,4.3,39,0,0
89.2,3.1,3.8,59,0,0
74.9,3.2,3.2,35,2,1
60.0,2.6,2.9,36,1,0
80.8,3.4,2.5,39,0,0
72.5,3.3,2.5,25,0,0
78.1,3.2,2.6,30,1,0
79.2,2.7,4.2,44,6,0
90.0,2.0,3.3,30,1,0
95.3,3.7,4.6,44,0,0
76.0,4.0,3.6,33,7,1
82.6,4.1,3.6,51,0,0
60.1,3.6,3.0,44,2,0
84.9,3.8,3.1,40,5,0
93.6,4.1,2.5,55,3,0
75.6,2.6,3.5,32,2,1
92.4,3.1,3.1,48,2,0
78.1,2.6,4.4,34,2,0
76.3,3.9,2.6,38,1,0
66.6,3.0,3.3,20,0,0
98.2,4.0,4.0,44,1,0
72.9,4.2,2.6,27,0,0
100.0,2.0,3.4,41,5,0
82.4,3.2,4.4,29,1,0
91.8,4.2,4.2,42,0,0
88.6,3.5,3.4,40,1,0
73.5,4.4,3.7,42,2,0
77.1,3.3,2.7,27,2,0
70.1,2.7,2.9,37,3,1
66.7,3.2,3.6,26,0,1
76.4,2.4,4.2,30,0,0
87.5,3.8,3.3,35,2,0
77.8,2.5,2.6,31,0,0
76.1,2.7,2.7,50,1,0
90.4,3.7,3.1,32,0,0
88.8,2.8,3.1,40,1,0
98.3,3.2,3.7,47,5,0
70.4,4.0,2.8,31,4,0
60.0,3.4,3.0,32,0,0
77.4,3.2,2.8,39,0,1
94.8,4.3,2.9,33,0,0
92.1,4.0,4.2,41,0,0
72.6,3.3,2.2,38,6,0
90.5,4.1,4.1,55,1,0
75.7,3.3,3.8,40,1,0
89.7,2.9,3.2,33,0,0
94.3,4.2,4.0,48,0,0
79.8,2.6,2.5,47,4,1
60.8,3.0,4.5,44,1,0
94.0,3.9,3.7,25,1,0
72.7,3.2,4.0,43,0,0
83.0,2.0,2.9,33,0,0
70.8,4.2,2.5,38,1,0
67.5,2.7,3.6,41,0,0
90.0,3.5,3.1,48,0,0
77.8,2.3,3.4,33,0,0
97.8,3.6,2.5,49,0,0
79.6,2.7,3.5,42,3,0
83.1,4.0,3.5,25,1,1
77.5,3.9,3.1,24,0,1
74.7,2.8,2.9,39,0,0
81.7,4.3,2.9,36,0,0
96.6,3.4,4.2,36,0,0
67.2,3.6,3.1,36,2,1
90.3,3.1,3.7,39,1,0
81.7,2.0,2.7,30,1,0
88.2,3.2,3.3,34,0,0
96.9,2.8,3.9,30,0,0
95.5,4.7,3.6,44,5,0
85.7,2.8,3.6,21,0,0
75.1,2.6,3.1,50,1,1
89.0,4.2,3.4,34,5,0
96.6,3.8,4.2,29,0,0
91.3,2.7,4.3,31,0,0
73.3,3.5,2.4,34,0,0
100.0,2.7,4.1,50,2,0
77.0,3.9,2.8,20,1,0
85.7,3.4,4.4,35,0,0
77.0,3.2,2.4,50,0,1
76.3,3.3,3.4,25,0,0
96.0,5.0,4.3,59,1,0
77.3,2.9,3.3,43,3,0
85.3,4.5,2.5,38,0,0
60.0,5.0,3.4,52,0,0
82.8,2.8,2.8,20,0,1
100.0,2.0,3.0,39,0,0
100.0,4.5,3.4,42,0,0
78.5,3.2,3.8,34,0,0
73.7,2.9,3.8,54,7,0
84.5,3.8,4.4,49,1,0
67.9,2.7,3.1,50,1,1
75.2,3.4,2.5,36,2,0
79.7,2.6,2.3,24,0,0
77.9,3.1,3.6,31,3,0
100.0,3.2,2.5,34,2,0
94.5,3.3,3.2,25,2,0
88.0,3.0,5.0,33,0,0
69.1,2.5,3.1,27,0,1
85.2,4.0,4.3,33,8,0
94.5,3.1,2.9,49,2,0
91.8,3.6,3.9,40,5,0
74.7,4.4,4.4,35,0,0
100.0,3.5,4.4,30,3,0
75.7,3.4,2.8,32,0,0
91.0,3.7,3.8,50,1,0
85.8,3.4,3.4,42,0,0
92.8,4.0,3.7,34,0,0
83.5,2.8,4.1,30,1,0
88.2,4.0,2.8,29,1,0
76.5,3.4,4.6,33,3,0
81.1,3.1,2.9,43,2,0
86.7,3.6,3.8,52,1,0
89.4,4.5,3.1,44,1,0
80.5,2.6,2.5,34,1,0
86.8,4.2,2.9,39,2,0
76.7,2.9,2.0,50,3,0
100.0,2.9,2.5,37,1,0
78.3,3.7,3.0,33,1,0
60.0,3.1,2.3,50,0,1
91.5,3.8,3.3,38,1,0
94.2,3.9,2.6,57,1,0
70.9,3.8,4.5,27,0,0
68.9,2.7,3.8,28,1,0
91.2,4.6,3.7,25,0,0
68.9,3.6,2.3,25,2,1
84.6,3.2,2.5,43,0,0
74.0,4.0,2.5,39,2,0
61.5,3.1,2.2,42,3,1
90.5,3.7,3.8,26,2,0
78.6,4.1,2.5,39,1,0
86.4,4.0,2.6,47,2,1
67.1,2.3,2.9,32,0,0
77.7,3.2,2.9,40,4,0
76.5,3.9,4.2,25,0,0
86.3,2.6,2.1,50,2,0
96.7,3.5,3.7,25,0,0
85.3,2.5,3.5,47,0,0
100.0,2.2,3.8,39,2,0
74.9,4.3,3.4,49,0,0
94.8,2.0,3.1,39,3,0
64.7,2.4,2.3,48,0,1
87.0,3.5,3.0,37,1,0
91.7,4.4,3.7,43,1,0
90.1,4.2,3.7,28,1,0
76.7,3.3,2.0,43,1,1
79.1,2.7,3.3,40,0,0
88.6,2.5,3.7,25,0,0
75.2,3.0,2.5,26,2,0
84.4,3.4,2.8,33,1,0
76.7,2.3,3.5,54,1,0
99.0,2.7,3.5,40,2,0
74.2,3.6,3.1,40,1,0
85.8,3.1,2.2,20,0,1
95.9,4.1,3.9,58,1,0
83.0,2.9,3.4,42,0,0
72.8,3.0,2.7,52,0,0
72.9,3.3,2.0,33,0,1
100.0,2.0,3.3,52,1,0
84.8,3.5,3.5,28,0,0
85.2,3.3,4.1,41,5,0
86.1,3.2,2.5,39,0,0
73.2,3.9,2.5,34,1,0
61.4,3.5,3.6,38,1,0
91.5,3.0,3.6,49,6,0
96.2,3.4,2.5,42,2,0
73.8,4.4,4.9,51,0,0
82.1,4.2,2.5,25,1,0
69.4,3.4,2.4,28,0,0
90.3,4.4,2.5,48,5,0
87.9,4.0,2.7,33,2,1
89.6,2.8,4.0,25,0,0
92.5,3.5,3.3,31,2,0
86.9,3.7,3.5,44,7,0
70.1,3.3,3.1,36,1,0
85.1,2.8,4.1,56,3,0
69.5,2.0,2.5,31,3,1
82.8,3.2,2.5,35,1,0
72.1,4.3,2.5,36,0,0
81.1,3.5,2.6,36,3,0
96.6,4.0,3.4,30,0,0
83.6,3.4,3.5,40,3,0
87.9,2.9,2.5,44,1,0
86.2,3.5,3.9,46,0,0
81.1,4.3,4.2,44,3,0
76.6,3.6,4.6,41,1,0
82.4,3.9,3.2,26,0,0
75.9,3.5,2.8,46,2,0
78.8,2.8,3.4,46,1,0
82.5,3.0,3.4,30,1,0
79.1,2.4,3.6,50,1,0
81.6,4.0,3.8,32,5,0
76.1,4.2,3.4,47,6,0
82.2,3.6,4.5,46,2,0
74.7,3.1,2.6,50,5,0
84.4,4.0,2.9,29,8,0
67.0,2.6,3.7,35,0,0
81.9,3.9,3.3,28,0,1
94.9,4.1,2.5,25,5,0
92.1,3.0,3.6,51,0,0
81.6,4.6,3.6,44,1,0
63.7,3.6,3.4,46,4,0
82.4,2.4,3.3,37,1,0
74.6,2.8,2.5,23,1,0
77.9,4.4,3.3,27,0,0
72.6,3.0,2.9,41,1,1
79.9,2.9,2.2,39,0,1
91.2,3.4,5.0,33,3,0
85.5,2.8,4.5,37,4,0
93.5,4.0,4.5,28,0,0
82.5,3.3,3.5,41,0,0
85.7,3.9,3.8,29,0,0
78.8,4.9,3.2,38,1,0
90.0,2.5,3.0,36,3,0
90.2,2.4,4.2,32,1,0
